URL,Priority,Direction,Start Port,End Port,Global,Regular Expression,Override Zero Trust Policy,Note
selfasig.ro,0,2,0,0,1,0,0,Afraid.org 6/23/2026
dickeyfam.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
igotwasted.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
ltlegl.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
astraltech.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
defender24hs.com.br,0,2,0,0,1,0,0,Afraid.org 6/23/2026
buildmysmarthome.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
myremotecentral.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
vanitypanels.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
susangilmore.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
bubblesgestion.com.ar,0,2,0,0,1,0,0,Afraid.org 6/23/2026
oliver.adm.br,0,2,0,0,1,0,0,Afraid.org 6/23/2026
richsfamilyonline.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
osperkins.com.ar,0,2,0,0,1,0,0,Afraid.org 6/23/2026
imexsac.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
amadeuspiano.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
bastoscomputacion.com.ar,0,2,0,0,1,0,0,Afraid.org 6/23/2026
ubeagle.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
rogerthedog.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
tsurukawa.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
isca-artificial.com.br,0,2,0,0,1,0,0,Afraid.org 6/23/2026
ajalo.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
gingertom.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
music-menges.si,0,2,0,0,1,0,0,Afraid.org 6/23/2026
chen-yang.tw,0,2,0,0,1,0,0,Afraid.org 6/23/2026
i-taiwan.tv,0,2,0,0,1,0,0,Afraid.org 6/23/2026
